"initial_design","initial_design_measure","model_fit","ei_design","ei_compute","neighbour_ei_design","neighbour_ei_compute","neighbour_design_measure"
-1,-1,6851.784,40.5309999999999,84.7210000000005,36.2389999999996,48.6220000000003,575.39
-1,-1,7303.524,38.0599999999995,98.3209999999999,42.4140000000007,45.2149999999983,586.395999999999
-1,-1,7017.667,37.018,88.0770000000011,35.3080000000009,45.2439999999988,605.919999999998
-1,-1,7410.846,41.119999999999,108.120999999999,41.4430000000029,46.5120000000024,582.871000000003
-1,-1,7250.506,42.5819999999949,86.2839999999997,40.6489999999976,46.2479999999996,588.514000000003
-1,-1,7076.893,43.7790000000023,86.0179999999964,45.708000000006,50.273000000001,591.68
-1,-1,7108.686,42.9780000000028,85.640999999996,41.7450000000026,42.8059999999969,580.544000000002
-1,-1,7276.98,44.2640000000029,88.7530000000042,40.3679999999949,43.7620000000024,584.682999999997
-1,-1,7433.84800000001,43.4189999999944,86.0789999999979,43.9400000000023,45.1260000000038,599.823999999993
-1,-1,7515.712,39.9949999999953,89.8229999999894,39.9719999999943,45.8269999999902,595.478000000003
-1,-1,7263.84,42.650999999998,87.4320000000007,43.273000000001,49.2169999999896,581.808000000005
-1,-1,7153.81599999999,43.2680000000109,88.1849999999977,44.9679999999935,44.4729999999981,577.744000000006
-1,-1,7452.841,39.8839999999909,95.7149999999965,49.8470000000088,44.1789999999892,588.484000000011
-1,-1,6935.734,39.5060000000085,86.7620000000024,47.8129999999946,46.1589999999997,575.926000000007
-1,-1,7205.51700000001,42.0460000000021,100.388000000006,40.6580000000104,42.0969999999943,560.563999999998
-1,-1,7076.84300000001,40.8689999999915,88.8849999999948,45.198000000004,46.8830000000016,603.724000000002
-1,-1,7053.576,41.5849999999919,89.1879999999946,39.3590000000258,43.9290000000037,565.190000000002
-1,-1,7245.06200000001,38.6760000000068,97.0570000000007,39.375,42.8459999999905,564.02899999998
-1,-1,6505.75899999999,39.4850000000151,96.5290000000095,45.8949999999895,42.8820000000123,575.733000000007
-1,-1,7140.58799999999,50.8040000000037,103.801000000007,50.6339999999909,44.765000000014,569.315000000002
-1,-1,6739.67500000002,41.8519999999844,92.8279999999795,34.6710000000021,43.3919999999925,572.247000000003
-1,-1,7522.32299999997,49.332000000024,101.649999999994,42.7119999999995,44.7630000000063,585.393000000011
-1,-1,7326.15400000001,40.6779999999853,86.1359999999986,44.3500000000058,45.6150000000198,574.994000000006
-1,-1,7471.64800000002,39.7269999999844,86.9989999999816,42.1200000000244,46.5299999999988,596.92300000001
-1,-1,7382.84,50.5920000000042,89.6339999999909,40.0010000000184,48.1480000000156,568.863000000012
-1,-1,7316.93799999999,45.5350000000035,89.0760000000009,43.1849999999977,45.0249999999942,565.885999999999
-1,-1,7247.68299999999,39.2770000000019,100.171000000002,40.6010000000242,44.0070000000123,584.496000000014
-1,-1,7152.15100000001,45.6300000000047,86.304999999993,51.6849999999977,44.4940000000061,586.067999999999
-1,-1,7300.87599999999,45.4679999999935,86.7299999999814,44.5709999999963,44.4189999999944,569.467999999993
-1,-1,6010.16499999998,45.6870000000054,91.3469999999797,48.4590000000026,44.0420000000158,574.117999999988
-1,-1,6688.995,46.0599999999977,92.0650000000023,42.1810000000114,50.1339999999909,562.312000000005
-1,-1,7059.52100000001,39.7570000000123,87.4860000000044,60.0240000000049,44.5249999999942,587.910000000003
-1,-1,6105.76199999999,42.1289999999863,93.4899999999907,43.6320000000123,47.5750000000116,584.904999999999
-1,-1,7509.913,43.579000000027,107.065999999992,47.2629999999772,44.9110000000219,562.020000000019
-1,-1,7535.08899999998,44.9020000000019,88.0599999999977,33.3169999999809,44.6830000000191,592.353000000003
-1,-1,7140.35800000001,44.5189999999711,89.0299999999697,43.3709999999846,49.2260000000242,576.126999999979
-1,-1,7564.016,44.3530000000028,99.0659999999916,46.695000000007,44.1070000000182,586.613000000012
-1,-1,7628.03700000001,39.1520000000019,90.9940000000061,51.5929999999935,43.0939999999828,576.27999999997
-1,-1,7018.37699999998,46.9029999999912,87.6579999999958,46.2119999999995,45.0970000000088,580.023000000045
-1,-1,6938.42500000005,38.210999999952,104.373000000021,38.0320000000065,43.0169999999925,574.376999999979
-1,-1,7191.48300000001,37.9199999999837,88.5210000000079,39.1379999999772,47.1300000000047,597.551999999967
-1,-1,7186.95299999998,39.9120000000112,104.205999999947,42.5160000000033,44.4349999999977,592.891000000003
-1,-1,7666.86199999996,40.0720000000438,103.358999999997,44.2260000000242,43.4879999999539,578.023999999976
-1,-1,7281.88499999995,40.7530000000261,88.4940000000061,41.1550000000279,46.4109999999637,577.323000000033
